algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,idle_temp_c,mean_clock_mhz,time_per_call_us,idle_load_pct,active_load_pct,gpu_idle_power_w,gpu_active_power_w,power_samples,idle_samples,thermal_wait_s,load_wait_s,cpu_name
wiener,filter,16384,1,fp32,47055,5.000082399999883,14.377469670710571,2.531283336676465,28.464,14.361001550674018,14.086530329289427,142.32234543359667,70.43381237654462,0.0014968401312622382,71.19076923076923,90.0,52.0,1747.6006153846151,106.26038465625084,3.7008665511265164,4.656615384615385,381.0110918544194,593.5,325,577,7.098008871078491,3.045032024383545,Intel Core i9-14900HX
matched_filter,filter,256,1,fp32,119681,5.000020400000267,12.114185639229424,0.9942171640999595,29.673929961089495,12.82485660006439,17.559744321860073,148.3702551536266,87.79907982808922,0.0007336091762943928,74.31906614785993,86.0,53.0,1726.461478599222,41.77789624084246,2.753415061295972,4.918287937743191,593.5,593.5,257,571,7.076746940612793,3.0455965995788574,Intel Core i9-14900HX
matched_filter,filter,1024,1,fp32,106482,5.000020800000129,12.139208633093524,1.0315745907729343,29.613605442176876,11.864321633246178,17.474396809083352,148.0686431738814,87.37234751287265,0.000820536311422331,81.8639455782313,94.0,54.0,1627.2142857142858,46.95648842057934,3.166906474820143,4.742857142857143,593.5,593.5,294,556,7.098412275314331,3.043912887573242,Intel Core i9-14900HX
matched_filter,filter,4096,1,fp32,67554,5.000005700000202,11.875855855855859,0.5702164413915793,29.17453416149068,11.040913632997835,17.298678305634823,145.872837102304,86.49349013064395,0.0012803607503722053,80.7111801242236,90.0,54.0,1949.6739130434778,74.0149465612725,3.587567567567568,5.653726708074533,593.5,593.5,322,555,7.099567413330078,3.0384881496429443,Intel Core i9-14900HX
matched_filter,filter,16384,1,fp32,24415,5.000038799999857,14.508920187793429,1.3643110094132584,29.425752508361203,12.728107535046117,14.916832320567774,147.12990426099913,74.58474037593076,0.003054873658649632,74.65886287625418,93.0,52.0,1939.3745819397993,204.79372516894765,7.318466353677621,5.852842809364549,593.5,593.5,299,639,18.168933153152466,3.039093255996704,Intel Core i9-14900HX
filterbank_32ch,filter,256,1,fp32,39099,5.000028999999813,13.570389170896785,3.63838155260265,27.46061538461538,13.379253270748718,13.890226213718595,137.3038732809179,69.45153388515058,0.0017762994932133962,78.29230769230769,95.0,50.0,1616.4960000000003,127.88125015984585,3.218443316412859,4.597846153846153,593.5,593.5,325,591,7.133285760879517,3.0572338104248047,Intel Core i9-14900HX
filterbank_32ch,filter,1024,1,fp32,15491,5.000114899999971,11.993520140105078,0.6943429462466169,28.979682539682543,12.264235003320806,16.986162399577466,144.9017424639357,84.93276370794656,0.005482716655344817,73.01904761904763,85.0,51.0,2131.4400000000005,322.775476082885,3.317863397548161,4.632063492063492,593.5,593.5,315,571,5.061523199081421,3.0488691329956055,Intel Core i9-14900HX
filterbank_32ch,filter,4096,1,fp32,4557,5.000407600000017,11.852249134948098,0.7777196683693014,28.555192878338275,11.352393362274704,16.70294374339018,142.78760348830906,83.52152683682098,0.018328182321005262,75.97626112759644,93.0,50.0,1840.360237388724,1097.3025235900848,2.9102076124567477,4.452522255192879,593.5,593.5,337,578,11.172818183898926,3.0362324714660645,Intel Core i9-14900HX
filterbank_32ch,filter,16384,1,fp32,1211,5.003070899999784,11.469314079422382,0.9224617231061641,29.83302469135803,13.626501121951692,18.363710611935648,149.2567376923084,91.87494617859247,0.07586700757934968,77.88271604938272,95.0,49.0,2285.642592592593,4131.354995871002,3.2231046931407943,4.2975308641975305,593.5,593.5,324,554,6.100518465042114,3.041628837585449,Intel Core i9-14900HX
lms,adaptive,256,1,fp32,13616,5.000232500000038,11.729496402877695,0.6941899930061929,29.1904,14.92026500568941,17.460903597122304,145.95878676800112,87.30857764569852,0.00641220458619995,70.944,87.0,50.0,2019.4272,367.23211662749986,3.1649280575539565,5.381600000000001,593.5,593.5,250,556,5.09414529800415,3.036249876022339,Intel Core i9-14900HX
