algorithm,category,N,B,variant,gpus,repeat_idx,n_kernels,n_memcpy,n_memset,n_cuda_events,model_seq_steps,model_fused_steps,outer_iters,kpi_table,kpi_census,ratio_census_over_model,wall_ms,top_kernels
fastica,decomposition,256,1,default,A100 SXM4+RTX 4090,0,1354,3,1,1358,650,0,50,13,27.080,2.0831,4846.36,"156x copy_info_kernel(int, int *) | 104x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 101x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 53x void at::native::elementwise_kernel<(int)128, (int)2, void a | 52x void lacpy_kernel<float, float, (int)5, (int)3>(long long, l | 51x void geqr2_smem<float, float, (int)8, (int)5, (int)5>(int, i | 51x ampere_sgemm_32x32_sliced1x4_nt"
fastica,decomposition,256,1,default,A100 SXM4+RTX 4090,1,1354,3,1,1358,650,0,50,13,27.080,2.0831,4852.14,"156x copy_info_kernel(int, int *) | 104x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 101x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 53x void at::native::elementwise_kernel<(int)128, (int)2, void a | 52x void lacpy_kernel<float, float, (int)5, (int)3>(long long, l | 51x void geqr2_smem<float, float, (int)8, (int)5, (int)5>(int, i | 51x ampere_sgemm_32x32_sliced1x4_nt"
fastica,decomposition,512,1,default,A100 SXM4+RTX 4090,0,1354,3,1,1358,650,0,50,13,27.080,2.0831,4961.27,"156x copy_info_kernel(int, int *) | 104x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 101x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 53x void at::native::elementwise_kernel<(int)128, (int)2, void a | 52x void lacpy_kernel<float, float, (int)5, (int)3>(long long, l | 51x void geqr2_smem<float, float, (int)8, (int)5, (int)5>(int, i | 51x ampere_sgemm_32x32_sliced1x4_nt"
fastica,decomposition,512,1,default,A100 SXM4+RTX 4090,1,1354,3,1,1358,650,0,50,13,27.080,2.0831,4795.95,"156x copy_info_kernel(int, int *) | 104x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 101x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 53x void at::native::elementwise_kernel<(int)128, (int)2, void a | 52x void lacpy_kernel<float, float, (int)5, (int)3>(long long, l | 51x void geqr2_smem<float, float, (int)8, (int)5, (int)5>(int, i | 51x ampere_sgemm_32x32_sliced1x4_nt"
fastica,decomposition,1024,1,default,A100 SXM4+RTX 4090,0,1354,3,1,1358,650,0,50,13,27.080,2.0831,4912.29,"156x copy_info_kernel(int, int *) | 104x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 101x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 53x void at::native::elementwise_kernel<(int)128, (int)2, void a | 52x void lacpy_kernel<float, float, (int)5, (int)3>(long long, l | 51x void geqr2_smem<float, float, (int)8, (int)5, (int)5>(int, i | 51x ampere_sgemm_32x32_sliced1x4_nt"
fastica,decomposition,1024,1,default,A100 SXM4+RTX 4090,1,1354,3,1,1358,650,0,50,13,27.080,2.0831,5085.05,"156x copy_info_kernel(int, int *) | 104x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int) | 103x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 101x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 53x void at::native::elementwise_kernel<(int)128, (int)2, void a | 52x void lacpy_kernel<float, float, (int)5, (int)3>(long long, l | 51x void geqr2_smem<float, float, (int)8, (int)5, (int)5>(int, i | 51x ampere_sgemm_32x32_sliced1x4_nt"
nmf,decomposition,256,1,default,A100 SXM4+RTX 4090,0,756,0,0,756,700,0,50,14,15.120,1.0800,4794.93,"150x void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, fl | 102x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x ampere_sgemm_32x32_sliced1x4_tn | 50x ampere_sgemm_32x32_sliced1x4_nn | 50x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int"
nmf,decomposition,256,1,default,A100 SXM4+RTX 4090,1,756,0,0,756,700,0,50,14,15.120,1.0800,4827.41,"150x void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, fl | 102x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x ampere_sgemm_32x32_sliced1x4_tn | 50x ampere_sgemm_32x32_sliced1x4_nn | 50x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int"
nmf,decomposition,512,1,default,A100 SXM4+RTX 4090,0,756,0,0,756,700,0,50,14,15.120,1.0800,4754.95,"150x void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, fl | 102x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x ampere_sgemm_32x32_sliced1x4_tn | 50x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 50x ampere_sgemm_32x32_sliced1x4_nn"
nmf,decomposition,512,1,default,A100 SXM4+RTX 4090,1,756,0,0,756,700,0,50,14,15.120,1.0800,4822.61,"150x void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, fl | 102x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x ampere_sgemm_32x32_sliced1x4_nt | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x ampere_sgemm_32x32_sliced1x4_tn | 50x void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int | 50x ampere_sgemm_32x32_sliced1x4_nn"
