algorithm,category,N,cpu_energy_j,gpu_energy_batch_j,gpu_energy_per_sig_j,ratio,winner,cpu_time_us,cpu_delta_w,gpu_delta_w
mdct_audio,compression,16384,0.10700434050185727,0.08335847585356983,0.08335847585356983,1.2836647912064099,GPU,3954.6927272729467,27.057561201637192,15.539397474747478
median,filter,256,0.0003253235469419217,0.10194013155665549,4.977545486164819e-05,6.535822683010424,GPU,19.37583684035174,16.790167548500882,120.20734824120605
median,filter,1024,0.0005652959140720619,0.21393426314425343,0.00020892017885181,2.7057985359711676,GPU,25.028341025359985,22.58623188405797,127.57173768844221
median,filter,4096,0.0011263336746907431,0.21666254534660875,0.0008463380677601904,1.3308318715611518,GPU,70.50607056235756,15.974988617392622,127.81640226130651
median,filter,16384,0.003918947761831392,0.21511229056859582,0.0033611295401343097,1.165961536155132,GPU,296.0039012550395,13.239513888888892,128.43098517587939
music,spectral,256,0.05581727871653612,0.012651745888029167,0.006325872944014583,8.823648405608484,GPU,2849.0293447295044,19.59168262685465,23.214024497487426
music,spectral,1024,0.048697577634948246,0.2517387657878935,0.00012291931923236987,396.17513291697526,GPU,2874.7202873562164,16.93993598233996,145.1242256281407
nlms,adaptive,256,0.009853414963662517,0.5682648632786521,0.5682648632786521,0.017339476009148987,CPU,511.9018632268642,19.248640552995386,20.755481185567014
nlms,adaptive,1024,0.01252476791713312,0.6607935928855928,0.6607935928855928,0.01895413038501057,CPU,489.2147930730951,25.60177675424822,22.10971878172589
nlms,adaptive,4096,0.005431822578391415,0.601931910506114,0.601931910506114,0.009023981755385341,CPU,512.77981745459,10.592894637223974,20.19865728643216
nlms,adaptive,16384,0.008195966936332285,0.6015595879841934,0.6015595879841934,0.013624530470533606,CPU,493.55235416047867,16.606074041067917,22.212306282722516
nmf,decomposition,256,0.02989764169091521,0.23025103510795691,0.23025103510795691,0.12984802294980874,CPU,2141.52642398302,13.960902539464657,25.362328643216077
nmf,decomposition,1024,0.10950632335483483,0.271082118870429,0.271082118870429,0.40395996538294854,CPU,7342.508663729355,14.914020312400305,27.498040075376878
particle_1k,estimation,256,0.30981801769893497,1.2763692617500604,1.2763692617500604,0.24273384433759873,CPU,19083.162357414792,16.2351507520741,22.63637613065327
particle_1k,estimation,1024,0.3152893375298281,1.3219851541829364,1.3219851541829364,0.23849688215651346,CPU,19039.539923951208,16.55971408916257,22.458275879396986
particle_1k,estimation,4096,0.29810505408106847,1.3537323135531127,1.3537323135531127,0.22020974981282554,CPU,19027.65589353508,15.666935315051285,22.398460175879396
particle_1k,estimation,16384,0.3371112756714542,1.2979893483251883,1.2979893483251883,0.259718060172399,CPU,19317.28687258711,17.451274492891862,22.68372713567839
pca,decomposition,256,0.10853493791354099,0.060807190935567614,0.060807190935567614,1.78490300643137,GPU,5460.0148471616585,19.878139703221127,37.860583919597985
pca,decomposition,1024,0.019606784106504096,0.06596605776150742,0.06596605776150742,0.29722534242367693,CPU,1279.4366845739646,15.324544264597895,38.27859747474747
periodogram,spectral,256,0.0015512941280063943,0.004937158376795188,2.410721863669525e-06,643.4977636304601,GPU,87.92182559918712,17.64401634559254,55.25612726130652
periodogram,spectral,1024,0.002114130973716795,0.015362904524218532,7.50141822471608e-06,281.8308365678161,GPU,119.79717763189447,17.64758582387449,126.09883165829146
periodogram,spectral,4096,0.004000675065312561,0.10108596545993356,4.9358381572233185e-05,81.05361111684347,GPU,278.3587986416533,14.372367910894926,122.79177135678391
periodogram,spectral,16384,0.013584714200969948,0.2704236577885516,0.0002640856033091324,51.44057090104984,GPU,891.5555357460549,15.237092538046145,114.82760075376885
rls,adaptive,256,0.014470387434454965,0.29091384885667637,0.29091384885667637,0.049741143267414696,CPU,749.9831258436642,19.29428401229303,13.754431818181821
rls,adaptive,1024,0.013908196579641657,0.2924021634301439,0.2924021634301439,0.04756529984759973,CPU,742.2968378859861,18.73670460358057,14.75082412060302
rls,adaptive,4096,0.012825043481267163,0.2532128149760492,0.2532128149760492,0.0506492670305026,CPU,747.6728618421225,17.153282051282048,14.120098350253809
rls,adaptive,16384,0.014151317526875382,0.33415331171952417,0.33415331171952417,0.04234977488044012,CPU,741.7918409731207,19.077208382759988,15.537981532663313
savgol,filter,256,0.0029690067103846193,0.0017096449796396027,8.347875877146498e-07,3556.601408644203,GPU,182.605824994507,16.259101868595543,63.93352663316585
