algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out,gpu_name
particle_1k,estimation,256,1,fp32,202,10.02426791191101,74.76415,0.016781760932631198,80.33838308457712,0.7884854538656041,5.574233084577116,805.3334756495407,55.877605843239124,0.27662181110514417,34.0,34,1159,49625.08867282679,201,40,34.0,5.005534410476685,False,NVIDIA A100-SXM4-40GB
particle_1k,estimation,1024,1,fp32,202,10.045045852661133,74.691,0.0,79.89282089552238,0.940150071518537,5.201820895522374,802.5270491939657,52.25252941285304,0.2586758881824408,34.0,34,1151,49727.94976564917,201,40,34.0,5.005502939224243,False,NVIDIA A100-SXM4-40GB
particle_1k,estimation,4096,1,fp32,201,10.048561573028564,74.68715,0.016781760932631198,80.1482039800995,0.715447571139097,5.461053980099493,805.3741626616828,54.87573717266246,0.2730136177744401,34.0,34,1155,49992.84364690828,201,40,34.0,5.005495071411133,False,NVIDIA A100-SXM4-40GB
particle_1k,estimation,16384,1,fp32,200,10.007086992263794,74.756,0.07810185657204106,79.93615999999999,0.795160533728882,5.1801599999999866,799.9281069475172,51.83831175384508,0.2591915587692254,34.0,34,1149,50035.43496131897,200,40,34.0,5.005404949188232,False,NVIDIA A100-SXM4-40GB
periodogram,spectral,256,2048,fp32,104092,10.000036239624023,74.8364,0.0997699353512846,102.03007,3.3406602992671983,27.193669999999997,1020.3043975313758,271.9376854883766,0.0026124744023400125,35.77,36,1249,96.06921031034108,200,40,34.0,5.005404472351074,False,NVIDIA A100-SXM4-40GB
periodogram,spectral,1024,2048,fp32,91698,10.000016689300537,74.90074999999999,0.06664223510657323,219.11144000000002,20.666837141333453,144.21069000000003,2191.1180568166733,1442.1093067755464,0.015726725847625318,42.825,45,1398,109.053814579386,200,40,34.0,5.0055177211761475,False,NVIDIA A100-SXM4-40GB
periodogram,spectral,4096,2048,fp32,22548,10.000206470489502,75.206125,0.04247775152947259,268.75372,26.805579216864537,193.547595,2687.592689712124,1935.5159118666816,0.08583980450003023,46.185,49,1400,443.50747163781716,200,40,36.0,6.006658554077148,False,NVIDIA A100-SXM4-40GB
periodogram,spectral,16384,2048,fp32,5600,10.001515626907349,76.00489999999999,0.165566874706267,285.68974000000003,28.62356832336597,209.68484000000004,2857.3303990570976,2097.1662039855673,0.3744939649974227,48.27,51,1398,1785.9849333763123,200,40,38.0,7.007783889770508,False,NVIDIA A100-SXM4-40GB
welch,spectral,256,2048,fp32,88365,10.000043392181396,76.6505,0.10035063527452205,126.66823000000001,6.750994194716803,50.017730000000014,1266.6877964108135,500.1794703784133,0.005660379905827118,41.77,42,1400,113.16746893205904,200,40,40.0,5.005633592605591,False,NVIDIA A100-SXM4-40GB
welch,spectral,1024,2048,fp32,48495,10.000139236450195,75.80805000000001,0.042966818592957756,250.66781500000002,24.361242953937612,174.859765,2506.713052096739,1748.6219968529606,0.036057779087595845,47.235,49,1402,206.20969659656038,200,40,38.0,5.005458354949951,False,NVIDIA A100-SXM4-40GB
