algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out
savgol,filter,16384,2048,fp32,14934,10.004638433456421,4.7985,0.00550000000000006,153.32178391959795,51.63013781058737,148.52328391959796,1533.9290120881103,1485.9217545651697,0.09949924699110552,60.869346733668344,64,2011,669.9235592243485,199,40,49.0,8.006595611572266,False
wiener,filter,256,2048,fp32,62319,10.000285387039185,7.7906,2.256743813550843,63.168070351758786,21.59990119522059,55.37747035175879,631.6987308661566,553.790507529889,0.008886383085894976,55.05527638190955,57,2090,160.46928524268978,199,40,52.0,5.002391815185547,False
wiener,filter,1024,2048,fp32,43175,10.000437498092651,4.9495000000000005,0.0014999999999996128,142.1237135678392,46.63434919291358,137.1742135678392,1421.2993145319983,1371.8021491351888,0.03177306656943112,60.663316582914575,64,2171,231.6256513744679,199,40,51.0,5.003466367721558,False
wiener,filter,4096,2048,fp32,5377,10.007745265960693,5.007149999999998,0.05523655945114632,126.62709045226133,44.564676796897324,121.61994045226133,1267.2516650159948,1217.1413833075399,0.22636068129208478,57.68341708542714,60,2153,1861.2135514154163,199,40,51.0,9.008249044418335,False
wiener,filter,16384,512,fp32,5197,10.00004506111145,4.8514,0.023982076640691647,126.34673366834167,46.160834630488864,121.49533366834167,1263.473030007664,1214.958811398188,0.23378079880665537,57.23618090452261,60,2152,1924.1957015800365,199,40,50.0,9.008654832839966,False
matched_filter,filter,256,2048,fp32,82162,10.00075101852417,4.77115,0.0434669702187765,82.19011111111111,27.006133527381618,77.4189611111111,821.962837407059,774.2477541850275,0.009423428764940331,55.36363636363637,57,2207,121.71990723843346,198,40,50.0,8.004987001419067,False
matched_filter,filter,1024,2048,fp32,34740,10.001097202301025,4.933199999999999,0.06373978349508265,150.16869346733668,54.006438290779606,145.23549346733668,1501.8517001093812,1452.5142873909897,0.04181100424268824,60.120603015075375,64,2104,287.8842027144797,199,40,49.0,6.004504919052124,False
matched_filter,filter,4096,2048,fp32,4033,10.000734329223633,4.903149999999999,0.05229223173665477,125.9071658291457,45.508331651094046,121.0040158291457,1259.1641156027902,1210.1290150764573,0.300056785290468,57.562814070351756,60,2123,2479.7258440921482,199,40,50.0,9.005351066589355,False
matched_filter,filter,16384,256,fp32,7149,10.006757020950317,4.8648750000000005,0.010288798520721672,132.5598391959799,46.226199437618746,127.69496419597989,1326.494101570417,1277.8124795081212,0.1787400307047309,57.402010050251256,60,2155,1399.7422046370564,199,40,50.0,9.005883693695068,False
filterbank_32ch,filter,256,2048,fp32,31630,10.000147581100464,5.0969999999999995,0.2360000000000002,153.94432663316587,50.66777900466104,148.84732663316586,1539.4659856047933,1488.4952333839242,0.04705960269946014,63.02010050251256,67,1730,316.1602143882537,199,40,50.0,7.005347967147827,False
filterbank_32ch,filter,1024,2048,fp32,8477,10.002058506011963,4.840775,0.019532648949899593,154.41252763819094,50.84704168492531,149.57175263819093,1544.4431354983749,1496.0254207339349,0.17648052621610652,63.23618090452261,67,1609,1179.905450750497,199,40,51.0,9.007323026657104,False
